      3.7188      0.2478     -0.2535
      3.7292      0.3298     -0.2825
      3.7396      0.3962     -0.3151
      3.7500      0.4633     -0.3601
      3.7604      0.5245     -0.4004
      3.7708      0.5614     -0.4499
      3.7812      0.5795     -0.5119
      3.7917      0.6196     -0.5810
      3.8021      0.7003     -0.5539
      3.8125      0.7783     -0.5852
      3.8229      0.7838     -0.5646
      3.8333      0.7655     -0.5025
      3.8438      0.7776     -0.4329
      3.8542      0.7691     -0.4485
      3.8646      0.7534     -0.4260
      3.8750      0.7017     -0.3915
      3.8854      0.6490     -0.3763
      3.8958      0.6128     -0.3739
      3.9062      0.5656     -0.3739
      3.9167      0.5173     -0.3304
      3.9271      0.4568     -0.2576
      3.9375      0.3557     -0.1682
      3.9479      0.2266     -0.1194
      3.9583      0.1102     -0.0968
      3.9688      0.0072     -0.0707
      3.9792     -0.0897     -0.0348
      3.9896     -0.1876      0.0107
      4.0000     -0.2877      0.0592
      4.0104     -0.3858      0.0954
      4.0208     -0.4774      0.1165
      4.0312     -0.5221      0.1301
      4.0417     -0.6058      0.2548
      4.0521     -0.7984      0.2988
      4.0625     -0.8610      0.3143
      4.0729     -0.8476      0.3154
      4.0833     -0.9222      0.2534
      4.0938     -1.0023      0.2400
      4.1042     -0.9958      0.2056
      4.1146     -0.9815      0.1578
      4.1250     -0.9959      0.0976
      4.1354     -0.9853      0.1288
      4.1458     -0.9200      0.1366
      4.1562     -0.8623      0.1515
      4.1667     -0.7582      0.2454
      4.1771     -0.6609      0.2534
      4.1875     -0.5937      0.2439
      4.1979     -0.5314      0.2346
      4.2083     -0.4634      0.2223
      4.2188     -0.3803      0.1740
      4.2292     -0.2978      0.1354
      4.2396     -0.2106      0.0982
      4.2500     -0.1192      0.0637
      4.2604     -0.0273      0.0307
      4.2708      0.0583     -0.0020
      4.2812      0.1330     -0.0455
      4.2917      0.2112     -0.1249
      4.3021      0.3335     -0.2325
      4.3125      0.4754     -0.3026
      4.3229      0.6006     -0.3325
      4.3333      0.6706     -0.3768
      4.3438      0.7433     -0.4334
      4.3542      0.7841     -0.4667
      4.3646      0.8060     -0.4725
      4.3750      0.7861     -0.4654
      4.3854      0.7676     -0.4514
      4.3958      0.7483     -0.4478
      4.4062      0.7117     -0.4543
      4.4167      0.6712     -0.4442
      4.4271      0.6166     -0.4494
      4.4375      0.5514     -0.4430
      4.4479      0.4733     -0.4244
      4.4583      0.3744     -0.3939
      4.4688      0.2779     -0.3519
      4.4792      0.1933     -0.2850
      4.4896      0.1372     -0.2061
      4.5000      0.0861     -0.1390
      4.5104      0.0303     -0.0892
      4.5208     -0.0289     -0.0564
      4.5312     -0.0923     -0.0390
      4.5417     -0.1614     -0.0399
      4.5521     -0.2418     -0.0560
      4.5625     -0.3472     -0.0847
      4.5729     -0.4631     -0.1153
      4.5833     -0.6162     -0.0988
      4.5938     -0.8044      0.0897
      4.6042     -0.8132      0.2932
      4.6146     -0.7464      0.2984
      4.6250     -0.7097      0.2847
      4.6354     -0.7730      0.2146
      4.6458     -0.7097      0.2163
      4.6563     -0.7229      0.2065
      4.6667     -0.6148      0.1781
      4.6771     -0.4592      0.0466
      4.6875     -0.4472     -0.0164
      4.6979     -0.4453     -0.0253
      4.7083     -0.4069      0.0139
      4.7188     -0.3348      0.0354
      4.7292     -0.2475      0.0204
      4.7396     -0.1561     -0.0190
      4.7500     -0.0662     -0.0706
      4.7604      0.0186     -0.1317
      4.7708      0.0942     -0.1969
      4.7813      0.2162     -0.2608
      4.7917      0.3040     -0.3063
      4.8021      0.3465     -0.3542
      4.8125      0.3937     -0.3677
      4.8229      0.5496     -0.3147
      4.8333      0.6929     -0.3534
      4.8438      0.7224     -0.4469
      4.8542      0.6845     -0.5367
      4.8646      0.6332     -0.6548
      4.8750      0.7398     -0.6919
      4.8854      0.8457     -0.6168
      4.8958      0.8444     -0.5143
      4.9063      0.8169     -0.4613
      4.9167      0.8449     -0.4145
      4.9271      0.8658     -0.2949
      4.9375      0.8187     -0.3381
      4.9479      0.7158     -0.4316
      4.9583      0.6236     -0.4196
      4.9688      0.5551     -0.3537
      4.9792      0.4581     -0.3117
      4.9896      0.3638     -0.2826
      5.0000      0.2650     -0.2468
      5.0104      0.1540     -0.2042
      5.0208      0.0352     -0.1575
      5.0313     -0.0931     -0.1046
      5.0417     -0.2249     -0.0386
      5.0521     -0.3613      0.0467
      5.0625     -0.5015      0.1116
      5.0729     -0.6695      0.2117
      5.0833     -0.7378      0.3292
      5.0938     -0.8268      0.3741
      5.1042     -0.9065      0.3758
      5.1146     -0.9303      0.2939
      5.1250     -0.9981      0.2011
      5.1354     -1.1409      0.2549
      5.1458     -1.1567      0.2306
      5.1563     -1.1396      0.2170
      5.1667     -1.0988      0.2077
      5.1771     -1.0352      0.2132
